Processo,Tempo,Batch Size
Gerar hash,14.100199ms,1000
Enviar para o Elasticsearch,162.108741ms,1000
Enviar para a Ethereum,772.146381ms,1000
Gerar hash,10.750488ms,1000
Enviar para o Elasticsearch,177.381732ms,1000
Enviar para a Ethereum,1.026006376s,1000
Gerar hash,9.380765ms,1000
Enviar para o Elasticsearch,147.771257ms,1000
Enviar para a Ethereum,751.936103ms,1000
Gerar hash,13.12575ms,1000
Enviar para o Elasticsearch,131.853546ms,1000
Enviar para a Ethereum,762.024019ms,1000
Gerar hash,8.233079ms,1000
Enviar para o Elasticsearch,128.925568ms,1000
Enviar para a Ethereum,763.06571ms,1000
Gerar hash,9.781758ms,1000
Enviar para o Elasticsearch,131.658908ms,1000
Enviar para a Ethereum,764.393569ms,1000
Gerar hash,9.427206ms,1000
Enviar para o Elasticsearch,132.536977ms,1000
Gerar hash,10.61549ms,1000
Enviar para a Ethereum,1.013447067s,1000
Enviar para o Elasticsearch,157.67478ms,1000
Enviar para a Ethereum,767.439884ms,1000
Gerar hash,9.406384ms,1000
Enviar para o Elasticsearch,137.953185ms,1000
Gerar hash,8.883459ms,1000
Enviar para a Ethereum,1.014071607s,1000
Enviar para o Elasticsearch,145.32928ms,1000
Enviar para a Ethereum,764.05175ms,1000
Gerar hash,10.418851ms,1000
Enviar para o Elasticsearch,137.757929ms,1000
Enviar para a Ethereum,765.327038ms,1000
Gerar hash,10.145734ms,1000
Enviar para o Elasticsearch,145.74058ms,1000
Enviar para a Ethereum,762.610458ms,1000
Gerar hash,12.858507ms,1000
Enviar para o Elasticsearch,148.871527ms,1000
Enviar para a Ethereum,602.715715ms,1000
Gerar hash,12.246851ms,1000
Enviar para o Elasticsearch,132.260467ms,1000
Enviar para a Ethereum,763.709764ms,1000
Gerar hash,10.664459ms,1000
Enviar para o Elasticsearch,135.72077ms,1000
Enviar para a Ethereum,619.034039ms,1000
Gerar hash,9.646211ms,1000
Enviar para o Elasticsearch,163.776045ms,1000
Enviar para a Ethereum,629.961803ms,1000
Gerar hash,12.00184ms,1000
Enviar para o Elasticsearch,151.515759ms,1000
Enviar para a Ethereum,768.407874ms,1000
Gerar hash,9.839636ms,1000
Enviar para o Elasticsearch,123.690297ms,1000
Enviar para a Ethereum,632.79826ms,1000
Gerar hash,8.579663ms,1000
Enviar para o Elasticsearch,148.087479ms,1000
Enviar para a Ethereum,643.153653ms,1000
Gerar hash,8.873845ms,1000
Enviar para o Elasticsearch,123.000478ms,1000
Enviar para a Ethereum,513.627299ms,1000
Gerar hash,13.051751ms,1000
Enviar para o Elasticsearch,142.349178ms,1000
Gerar hash,14.947533ms,1000
Enviar para a Ethereum,1.017694024s,1000
Enviar para o Elasticsearch,149.49779ms,1000
Gerar hash,11.403602ms,1000
Enviar para a Ethereum,1.017510448s,1000
Enviar para o Elasticsearch,136.579151ms,1000
Gerar hash,8.367259ms,1000
Enviar para a Ethereum,1.011345657s,1000
Enviar para o Elasticsearch,139.335714ms,1000
Gerar hash,12.120091ms,1000
Enviar para a Ethereum,1.013726386s,1000
Enviar para o Elasticsearch,222.367419ms,1000
Gerar hash,9.287622ms,1000
Enviar para a Ethereum,1.013089712s,1000
Enviar para o Elasticsearch,172.789878ms,1000
Enviar para a Ethereum,758.794405ms,1000
Gerar hash,19.274546ms,1000
Enviar para o Elasticsearch,132.39661ms,1000
Gerar hash,10.726911ms,1000
Enviar para a Ethereum,1.015297315s,1000
Enviar para o Elasticsearch,132.82591ms,1000
Enviar para a Ethereum,762.22812ms,1000
Gerar hash,8.913983ms,1000
Enviar para o Elasticsearch,131.951802ms,1000
Gerar hash,13.202829ms,1000
Enviar para a Ethereum,1.013930868s,1000
Enviar para o Elasticsearch,132.916208ms,1000
Enviar para a Ethereum,764.484166ms,1000
Gerar hash,10.177416ms,1000
Enviar para o Elasticsearch,144.631574ms,1000
Enviar para a Ethereum,762.341026ms,1000
Gerar hash,8.409204ms,1000
Enviar para o Elasticsearch,130.07014ms,1000
Enviar para a Ethereum,763.380515ms,1000
Gerar hash,12.675916ms,1000
Enviar para o Elasticsearch,162.646613ms,1000
Enviar para a Ethereum,763.833329ms,1000
Gerar hash,12.036047ms,1000
Enviar para o Elasticsearch,136.584517ms,1000
Gerar hash,8.427033ms,1000
Enviar para a Ethereum,1.012777431s,1000
Enviar para o Elasticsearch,167.412738ms,1000
Enviar para a Ethereum,765.057653ms,1000
Gerar hash,10.476959ms,1000
Enviar para o Elasticsearch,135.096063ms,1000
Enviar para a Ethereum,762.639269ms,1000
Gerar hash,12.062683ms,1000
Enviar para o Elasticsearch,145.587396ms,1000
Enviar para a Ethereum,825.288151ms,1000
Gerar hash,12.564984ms,1000
Enviar para o Elasticsearch,153.10858ms,1000
Gerar hash,16.085638ms,1000
Enviar para o Elasticsearch,149.432216ms,1000
Enviar para a Ethereum,1.514368429s,1000
Gerar hash,9.037769ms,1000
Enviar para a Ethereum,513.418652ms,1000
Enviar para o Elasticsearch,128.989055ms,1000
Enviar para a Ethereum,760.94081ms,1000
Gerar hash,13.028133ms,1000
Enviar para o Elasticsearch,145.085419ms,1000
Enviar para a Ethereum,815.084716ms,1000
Gerar hash,17.373322ms,1000
Enviar para o Elasticsearch,135.624698ms,1000
Enviar para a Ethereum,516.291476ms,1000
Gerar hash,11.678878ms,1000
Enviar para o Elasticsearch,134.334955ms,1000
Gerar hash,10.834737ms,1000
Enviar para a Ethereum,1.013743791s,1000
Enviar para o Elasticsearch,145.762326ms,1000
Enviar para a Ethereum,763.773829ms,1000
Gerar hash,10.744205ms,1000
Enviar para o Elasticsearch,135.695066ms,1000
Enviar para a Ethereum,762.343133ms,1000
Gerar hash,12.767734ms,1000
Enviar para o Elasticsearch,125.142396ms,1000
Enviar para a Ethereum,764.311558ms,1000
Gerar hash,19.708285ms,1000
Enviar para o Elasticsearch,168.704364ms,1000
Enviar para a Ethereum,518.463133ms,1000
Gerar hash,8.134423ms,1000
Enviar para o Elasticsearch,150.327528ms,1000
Enviar para a Ethereum,764.343774ms,1000
Gerar hash,9.66623ms,1000
Enviar para o Elasticsearch,138.625949ms,1000
Enviar para a Ethereum,512.685893ms,1000
Gerar hash,14.152611ms,1000
Enviar para o Elasticsearch,160.150959ms,1000
Gerar hash,8.106882ms,1000
Enviar para a Ethereum,1.016025317s,1000
Enviar para o Elasticsearch,134.056862ms,1000
Enviar para a Ethereum,512.254767ms,1000
Gerar hash,8.328004ms,1000
Enviar para o Elasticsearch,155.317363ms,1000
Enviar para a Ethereum,762.661203ms,1000
Gerar hash,9.992643ms,1000
Enviar para o Elasticsearch,141.626199ms,1000
Enviar para a Ethereum,762.912626ms,1000
Gerar hash,8.624009ms,1000
Enviar para o Elasticsearch,157.375752ms,1000
Enviar para a Ethereum,264.998518ms,1000
Gerar hash,11.491656ms,1000
Enviar para o Elasticsearch,145.088022ms,1000
Enviar para a Ethereum,262.866045ms,1000
Gerar hash,12.487054ms,1000
Enviar para o Elasticsearch,154.873932ms,1000
Enviar para a Ethereum,262.166629ms,1000
Gerar hash,8.350423ms,1000
Enviar para o Elasticsearch,144.179145ms,1000
Enviar para a Ethereum,338.884729ms,1000
Gerar hash,14.54487ms,1000
Enviar para o Elasticsearch,134.925739ms,1000
Enviar para a Ethereum,262.310493ms,1000
Gerar hash,13.060482ms,1000
Enviar para o Elasticsearch,126.618141ms,1000
Enviar para a Ethereum,357.462169ms,1000
Gerar hash,8.389041ms,1000
Enviar para o Elasticsearch,135.294015ms,1000
Enviar para a Ethereum,265.013236ms,1000
Gerar hash,82.617124ms,10000
Enviar para o Elasticsearch,318.445646ms,10000
Enviar para a Ethereum,768.354374ms,10000
Gerar hash,79.305096ms,10000
Enviar para o Elasticsearch,256.200975ms,10000
Enviar para a Ethereum,762.099612ms,10000
Gerar hash,87.911303ms,10000
Enviar para o Elasticsearch,285.942861ms,10000
Enviar para a Ethereum,941.979116ms,10000
Gerar hash,99.459765ms,10000
Enviar para o Elasticsearch,383.460356ms,10000
Enviar para a Ethereum,513.980301ms,10000
Gerar hash,121.554212ms,10000
